epoch,lr-AdamW,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
5,,1849,,,,0.484375,,1.5500633716583252,,
5,,1899,,,,0.59375,,1.3981878757476807,,
5,,1949,,,,0.609375,,1.3950892686843872,,
5,,1999,,,,0.59375,,1.3750309944152832,,
5,,2049,,,,0.578125,,1.4442466497421265,,
5,,2099,,,,0.5390625,,1.5033763647079468,,
5,,2111,,,,,,,0.5753999948501587,1.4080593585968018
5,,2111,,,0.5641555786132812,,1.4463870525360107,,,
,0.00010430195934094535,2112,,,,,,,,
6,,2149,,,,0.65625,,1.2423352003097534,,
6,,2199,,,,0.5234375,,1.4462682008743286,,
6,,2249,,,,0.546875,,1.3790556192398071,,
6,,2299,,,,0.515625,,1.599494457244873,,
6,,2349,,,,0.53125,,1.4249733686447144,,
6,,2399,,,,0.671875,,1.2778373956680298,,
6,,2449,,,,0.5703125,,1.4781055450439453,,
6,,2463,,,,,,,0.5971999764442444,1.371091365814209
6,,2463,,,0.5871555805206299,,1.4002931118011475,,,
,6.262610478227527e-05,2464,,,,,,,,
7,,2499,,,,0.640625,,1.3364677429199219,,
7,,2549,,,,0.59375,,1.345198631286621,,
7,,2599,,,,0.578125,,1.4280047416687012,,
7,,2649,,,,0.625,,1.3117796182632446,,
7,,2699,,,,0.640625,,1.2444336414337158,,
7,,2749,,,,0.609375,,1.3745228052139282,,
7,,2799,,,,0.5859375,,1.4143693447113037,,
7,,2815,,,,,,,0.609000027179718,1.3475490808486938
7,,2815,,,0.6043333411216736,,1.3591135740280151,,,
,2.955195934094537e-05,2816,,,,,,,,
8,,2849,,,,0.578125,,1.4206180572509766,,
8,,2899,,,,0.6640625,,1.271719217300415,,
8,,2949,,,,0.59375,,1.3894811868667603,,
8,,2999,,,,0.5546875,,1.4233485460281372,,
8,,3049,,,,0.6171875,,1.4291255474090576,,
8,,3099,,,,0.609375,,1.3102937936782837,,
8,,3149,,,,0.609375,,1.3272933959960938,,
8,,3167,,,,,,,0.6215999722480774,1.3193151950836182
8,,3167,,,0.617222249507904,,1.331804871559143,,,
,8.317050813874547e-06,3168,,,,,,,,
9,,3199,,,,0.625,,1.2512660026550293,,
9,,3249,,,,0.6484375,,1.3188650608062744,,
9,,3299,,,,0.578125,,1.340914249420166,,
9,,3349,,,,0.609375,,1.2583556175231934,,
9,,3399,,,,0.6171875,,1.2926652431488037,,
9,,3449,,,,0.578125,,1.3994858264923096,,
9,,3499,,,,0.59375,,1.4105916023254395,,
9,,3519,,,,,,,0.616599977016449,1.303260087966919
9,,3519,,,0.6227555274963379,,1.3178906440734863,,,
,0.0003,3520,,,,,,,,
10,,3549,,,,0.5703125,,1.410945177078247,,
10,,3599,,,,0.5859375,,1.376352071762085,,
10,,3649,,,,0.578125,,1.4696282148361206,,
10,,3699,,,,0.609375,,1.4636210203170776,,
10,,3749,,,,0.609375,,1.3196356296539307,,
10,,3799,,,,0.6328125,,1.2773983478546143,,
10,,3849,,,,0.5625,,1.4602972269058228,,
10,,3871,,,,,,,0.5680000185966492,1.4327422380447388
10,,3871,,,0.5736888647079468,,1.425300121307373,,,
,0.00029815940691897306,3872,,,,,,,,
11,,3899,,,,0.5078125,,1.4196680784225464,,
11,,3949,,,,0.6015625,,1.5038151741027832,,
11,,3999,,,,0.6484375,,1.2735259532928467,,
11,,4049,,,,0.546875,,1.4569282531738281,,
11,,4099,,,,0.546875,,1.5191372632980347,,
11,,4149,,,,0.5625,,1.4318732023239136,,
11,,4199,,,,0.640625,,1.3745529651641846,,
11,,4223,,,,,,,0.5875999927520752,1.3832738399505615
11,,4223,,,0.5841555595397949,,1.4044181108474731,,,
